intent,sub intent,data,slots
agricultural_machinery,harrow,why is harrow important,O O B-machinery_type B-machinery_general_info
agricultural_machinery,harrow,what are the advantages of harrow,O O O B-machinery_general_info O B-machinery_type
agricultural_machinery,chisel_plow,chisel plow is used in which tillage,O O O B-machinery_agricultural_process O O O
agricultural_machinery,liquid_manure,how do you use liquid manure,O O O B-machinery_agricultural_process O O
agricultural_machinery,general,why is agricultural machinery important,O O O B-machinery_type B-machinery_general_info
agricultural_machinery,plough,what is the use of plough,O O O B-machinery_agricultural_process O B-machinery_type
agricultural_machinery,plough,what is price of purchasing plough,O O B-machinery_price O O B-machinery_type
agricultural_machinery,plough,what is the maintenance cost of plough,O O O B-machinery_maintenance_cost B-machinery_price O B-machinery_type
agricultural_machinery,subsoiler,what are the types of subsoiler,O O O B-machinery_subtype O B-machinery_type
agricultural_machinery,roller,how much does a roller cost,O O O O B-machinery_type B-machinery_price
agricultural_machinery,harrow,what are the brands of harrow,O O O B-machinery_general_info O B-machinery_type
agricultural_machinery,combine,how much does a combine cost,O O O O O B-machinery_price
agricultural_machinery,chisel_plow,what is the advantages of chisel plow,O O O B-machinery_general_info O O O
agricultural_machinery,tractors,can i get a loan to buy tractor,O O O O B-machinery_price O B-machinery_price B-machinery_type
agricultural_machinery,plough,for how many years does a plough last,O O O B-machinery_shelf_life O O B-machinery_type O
agricultural_machinery,roller,what is the function of roller,O O O B-machinery_agricultural_process O B-machinery_type
agricultural_machinery,roller,is buying a roller expensive,O B-machinery_price O B-machinery_type B-machinery_price
agricultural_machinery,tractors,are there variations of tractors,O O B-machinery_subtype O B-machinery_type
agricultural_machinery,manure_spreader,is manure spreader required for cultivation,O O O O O B-machinery_agricultural_process
agricultural_machinery,combine,what is the use of combine in cultivation,O O O B-machinery_agricultural_process O O O B-machinery_agricultural_process
agricultural_machinery,rotator,does rotator need lubrication,O B-machinery_type O B-machinery_maintenance_cost
agricultural_machinery,manure_spreader,what is the lifetime of a manure spreader,O O O B-machinery_shelf_life O O O O
agricultural_machinery,plough,what is plough used for,O O B-machinery_type B-machinery_agricultural_process O
agricultural_machinery,subsoiler,what is the maintenance cost of subsoiler,O O O B-machinery_maintenance_cost B-machinery_price O B-machinery_type
agricultural_machinery,sprayers,what are precautions while spraying,O O B-machinery_general_info O O
agricultural_machinery,general,what are tools used in harvesting,O O B-machinery_type B-machinery_agricultural_process O B-machinery_agricultural_process
agricultural_machinery,planters,what are the types of seed planters,O O O B-machinery_subtype O B-machinery_agricultural_process B-machinery_type
agricultural_machinery,seed_drill,what are the types of seed drill,O O O B-machinery_subtype O B-machinery_agricultural_process O
agricultural_machinery,general,what is the objective of agricultural machinery testing,O O O O O O B-machinery_type B-machinery_shelf_life
agricultural_machinery,liquid_manure,what is liquid manure,O O O O
agricultural_machinery,harrow,what is the maintenance of harrow,O O O B-machinery_maintenance_cost O B-machinery_type
agricultural_machinery,planters,what are the types of agricultural planters,O O O B-machinery_subtype O O B-machinery_type
agricultural_machinery,subsoiler,why is subsoiler used in tillage,O O B-machinery_type B-machinery_agricultural_process O O
agricultural_machinery,rotator,is rotator used in cultivation,O B-machinery_type B-machinery_agricultural_process O B-machinery_agricultural_process
agricultural_machinery,chisel_plow,for how many years does chisel plow last,O O O B-machinery_shelf_life O O O O
agricultural_machinery,tractors,how big a tractor should i buy,O O O B-machinery_type O O B-machinery_price
agricultural_machinery,manure_spreader,what precautions should be taken while using manure spreader,O B-machinery_general_info O O O O O O O
agricultural_machinery,plough,what are different methods to plough,O O B-machinery_subtype B-machinery_subtype O B-machinery_type
agricultural_machinery,tractors,what is a tractor,O O O B-machinery_type
agricultural_machinery,seed_drill,what are the different types of seed drill,O O O B-machinery_subtype B-machinery_subtype O B-machinery_agricultural_process O
agricultural_machinery,seed_drill,is a seed drill dangerous,O O B-machinery_agricultural_process O B-machinery_general_info
agricultural_machinery,sprayers,how much does it cost to buy a sprayer,O O O O B-machinery_price O B-machinery_price O B-machinery_type
agricultural_machinery,harrow,what is harrow used for,O O B-machinery_type B-machinery_agricultural_process O
agricultural_machinery,manure_spreader,can manure spreader cause harm,O O O B-machinery_agricultural_process B-machinery_general_info
agricultural_machinery,tractors,in what ways can i maintain a healthy tractor,O O O O O B-machinery_maintenance_cost O O B-machinery_type
agricultural_machinery,chisel_plow,are chisel plows dangerous,O O O B-machinery_general_info
agricultural_machinery,combine,what are the precautions while using a combine,O O O B-machinery_general_info O O O O
agricultural_machinery,general,which tools are required for sowing seeds,O B-machinery_type O O O B-machinery_agricultural_process B-machinery_agricultural_process
agricultural_machinery,general,why is mechanization needed,O O B-machinery_type O
agricultural_machinery,produce_sorter,what is the cost of produce sorter,O O O B-machinery_price O O O
agricultural_machinery,roller,what are the precautions that should be taken for roller,O O O B-machinery_general_info O O O O O B-machinery_type
agricultural_machinery,planters,best brand for planters,B-machinery_general_info B-machinery_general_info O B-machinery_type
agricultural_machinery,seed_drill,what is the life span of a seed drill,O O O B-machinery_shelf_life B-machinery_shelf_life O O B-machinery_agricultural_process O
agricultural_machinery,planters,how many years can planter be used,O O B-machinery_shelf_life O B-machinery_type O B-machinery_agricultural_process
agricultural_machinery,general,what is some newly developed equipment,O O O O O B-machinery_type
agricultural_machinery,seed_drill,what is role of seed drill,O O O O B-machinery_agricultural_process O
agricultural_machinery,manure_spreader,what is the maintenance cost of manure spreader,O O O B-machinery_maintenance_cost B-machinery_price O O O
agricultural_machinery,manure_spreader,what are the advantages of manure spreader over liquid manure,O O O B-machinery_general_info O O O O O O
agricultural_machinery,general,what is agricultural equipment or what is a farm tool,O O O B-machinery_type O O O O O B-machinery_type
agricultural_machinery,seed_drill,why seed drill is using in agriculture,O B-machinery_agricultural_process O O O O O
agricultural_machinery,subsoiler,what are the functions of subsoiler,O O O B-machinery_agricultural_process O B-machinery_type
agricultural_machinery,combine,what is combine,O O O
agricultural_machinery,manure_spreader,how much does a manure spreader cost,O O O O O O B-machinery_price
agricultural_machinery,seed_drill,how much does a seed drill cost,O O O O B-machinery_agricultural_process O B-machinery_price
agricultural_machinery,tractors,how much does it cost to rent a tractor,O O O O B-machinery_price O O O B-machinery_type
agricultural_machinery,plough,how long does a plough last,O B-machinery_shelf_life O O B-machinery_type O
agricultural_machinery,sprayers,what is sprayer used for,O O B-machinery_type B-machinery_agricultural_process O
agricultural_machinery,harrow,is harrow used for tilling,O B-machinery_type B-machinery_agricultural_process O B-machinery_agricultural_process
agricultural_machinery,general,what are agricultural machines,O O O B-machinery_type
agricultural_machinery,subsoiler,what are the disadvantages of subsoiler,O O O B-machinery_general_info O B-machinery_type
agricultural_machinery,subsoiler,subsoiler used for sowing,B-machinery_type B-machinery_agricultural_process O B-machinery_agricultural_process
agricultural_machinery,roller,how much does it cost to maintain a roller,O O O O B-machinery_price O B-machinery_maintenance_cost O B-machinery_type
agricultural_machinery,manure_spreader,how manure spreader is used in agriculture,O O O O B-machinery_agricultural_process O O
agricultural_machinery,cultivator,what is cultivator in agriculture,O O B-machinery_type O O
agricultural_machinery,produce_sorter,how to repair produce sorter,O O B-machinery_maintenance_cost O O
agricultural_machinery,general,how much money is needed for buying machines for soil preparation,O O B-machinery_price O O O B-machinery_price B-machinery_type O B-machinery_agricultural_process O
agricultural_machinery,sprayers,what is the best stage to spray fertilizers,O O O B-machinery_general_info O O O O
agricultural_machinery,rotator,can rotator be used for sowing seeds,O B-machinery_type O B-machinery_agricultural_process O B-machinery_agricultural_process B-machinery_agricultural_process
agricultural_machinery,general,how much money do i need to spend on machine repair,O O B-machinery_price O O O O O O B-machinery_type B-machinery_maintenance_cost
agricultural_machinery,general,what is the maintenance cost of machines,O O O B-machinery_maintenance_cost B-machinery_price O B-machinery_type
agricultural_machinery,cultivator,what is the maintenance cost of cultivator,O O O B-machinery_maintenance_cost B-machinery_price O B-machinery_type
agricultural_machinery,manure_spreader,what are the advantages of manure spreader,O O O B-machinery_general_info O O O
agricultural_machinery,rotator,what are the types of rotator,O O O B-machinery_subtype O B-machinery_type
agricultural_machinery,harrow,are harrows cheap,O B-machinery_type B-machinery_price
agricultural_machinery,general,what is the use of agricultural machinery,O O O B-machinery_agricultural_process O O B-machinery_type
agricultural_machinery,planters,what is the importance of planter,O O O B-machinery_general_info O B-machinery_type
agricultural_machinery,subsoiler,is a subsoiler cheap,O O B-machinery_type B-machinery_price
agricultural_machinery,combine,what is life span of combine,O O B-machinery_shelf_life B-machinery_shelf_life O O
agricultural_machinery,harrow,which type of harrow is used on pasture land,O B-machinery_subtype O B-machinery_type O B-machinery_agricultural_process O O O
agricultural_machinery,tractors,what are the best brands for tractors,O O O B-machinery_general_info B-machinery_general_info O B-machinery_type
agricultural_machinery,plough,what is plough,O O B-machinery_type
agricultural_machinery,tractors,how can i tell if a prospective tractor is in good condition,O O O O O O O B-machinery_type O O B-machinery_general_info B-machinery_shelf_life
agricultural_machinery,liquid_manure,liquid manure is useful in,O O O B-machinery_agricultural_process O
agricultural_machinery,cultivator,what is the difference between the cultivator and tiller,O O O B-machinery_general_info O O B-machinery_type O O
agricultural_machinery,subsoiler,what is subsoiler,O O B-machinery_type
agricultural_machinery,sprayers,can a sprayer be used for pesticides,O O B-machinery_type O B-machinery_agricultural_process O B-machinery_subtype
agricultural_machinery,general,what are basic/simple hand tools for a farm,O O O O B-machinery_type O O O
agricultural_machinery,tractors,what is money required to purchase tractor,O O B-machinery_price O O B-machinery_price B-machinery_type
agricultural_machinery,subsoiler,how many years can subsoiler last for,O O B-machinery_shelf_life O B-machinery_type O O
agricultural_machinery,harrow,what is a harrow,O O O B-machinery_type
agricultural_machinery,plough,what is the price of plough,O O O B-machinery_price O B-machinery_type
agricultural_machinery,cultivator,how to repair a cultivator,O O B-machinery_maintenance_cost O B-machinery_type
agricultural_machinery,tractors,how is tractor different from other tools,O O B-machinery_type B-machinery_subtype O O B-machinery_type
agricultural_machinery,seed_drill,which is the recommended brand for seed drill,O O O O B-machinery_general_info O B-machinery_agricultural_process O
agricultural_machinery,general,what is agriculture implement or farm implement,O O O B-machinery_type O O B-machinery_type
agricultural_machinery,produce_sorter,for how long does produce sorter last,O O B-machinery_shelf_life O O O O
agricultural_machinery,cultivator,remove danger from using cultivator,O B-machinery_general_info O O B-machinery_type
agricultural_machinery,cultivator,what are the brands of cultivator,O O O B-machinery_general_info O B-machinery_type
agricultural_machinery,chisel_plow,what precautions should be taken while using chisel plow,O B-machinery_general_info O O O O O O O
agricultural_machinery,chisel_plow,how much does it cost to maintain chisel plow,O O O O B-machinery_price O B-machinery_maintenance_cost O O
agricultural_machinery,planters,how does planter work,O O B-machinery_type B-machinery_general_info
agricultural_machinery,manure_spreader,what are the disadvantages ofmanure spreader,O O O B-machinery_general_info O O
agricultural_machinery,liquid_manure,what is liquid manure in agriculture,O O O O O O
agricultural_machinery,roller,for what agricultural processes is roller used,O O O O O B-machinery_type B-machinery_agricultural_process
agricultural_machinery,planters,safety in using planters,B-machinery_general_info O O B-machinery_type
agricultural_machinery,cultivator,is cultivator used for sowing,O B-machinery_type B-machinery_agricultural_process O B-machinery_agricultural_process
agricultural_machinery,tractors,can tractor be used for seeding,O B-machinery_type O B-machinery_agricultural_process O B-machinery_agricultural_process
agricultural_machinery,roller,what are different methods to roller,O O B-machinery_subtype B-machinery_subtype O B-machinery_type
agricultural_machinery,rotator,what is the rotator in agriculture,O O O B-machinery_type O O
agricultural_machinery,plough,what are the functions of disc plough,O O O B-machinery_agricultural_process O B-machinery_subtype B-machinery_type
agricultural_machinery,tractors,what are tractors used for in farming,O O B-machinery_type B-machinery_agricultural_process O O O
agricultural_machinery,combine,what are the parts of combine,O O O O O O
agricultural_machinery,sprayers,is sprayer used for irrigation,O B-machinery_type B-machinery_agricultural_process O B-machinery_agricultural_process
agricultural_machinery,seed_drill,what is the use of seed drill in agriculture,O O O B-machinery_agricultural_process O B-machinery_agricultural_process O O O
agricultural_machinery,sprayers,what are different types of sprayers,O O B-machinery_subtype B-machinery_subtype O B-machinery_type
agricultural_machinery,cultivator,what is the price of a cultivator,O O O B-machinery_price O O B-machinery_type
agricultural_machinery,chisel_plow,what is the price of chisel plow,O O O B-machinery_price O O O
agricultural_machinery,seed_drill,where is seed drill used,O O B-machinery_agricultural_process O B-machinery_agricultural_process
agricultural_machinery,liquid_manure,is using liquid manure safe,O O O O B-machinery_general_info
agricultural_machinery,combine,best combine brand,B-machinery_general_info O B-machinery_general_info
agricultural_machinery,liquid_manure,what is the use of liquid manure,O O O B-machinery_agricultural_process O O O
agricultural_machinery,general,what is the purpose of a hoe,O O O B-machinery_agricultural_process O O B-machinery_type
agricultural_machinery,general,how many years do agricultural machines work for,O O B-machinery_shelf_life O O B-machinery_type B-machinery_general_info O
agricultural_machinery,combine,is buying a combine expensive,O B-machinery_price O O B-machinery_price
agricultural_machinery,general,is agricultural machinery important,O O B-machinery_type B-machinery_general_info
agricultural_machinery,seed_drill,is buying a seed drill expensive,O B-machinery_price O B-machinery_agricultural_process O B-machinery_price
agricultural_machinery,planters,what is the advantages of planters,O O O B-machinery_general_info O B-machinery_type
agricultural_machinery,produce_sorter,what is the maintenance cost of produce sorter,O O O B-machinery_maintenance_cost B-machinery_price O O O
agricultural_machinery,planters,what is the maintenance cost of planter,O O O B-machinery_maintenance_cost B-machinery_price O B-machinery_type
agricultural_machinery,manure_spreader,is a manure spreader expensive,O O O O B-machinery_price
agricultural_machinery,roller,which type of roller is the best,O B-machinery_subtype O B-machinery_type O O B-machinery_general_info
agricultural_machinery,cultivator,in which agricultural process is cultivator used,O O O O O B-machinery_type B-machinery_agricultural_process
agricultural_machinery,chisel_plow,working of chisel plow,B-machinery_general_info O O O
agricultural_machinery,manure_spreader,what are the functions of manure spreader,O O O B-machinery_agricultural_process O O O
agricultural_machinery,sprayers,what is the quantity of sprayer solution to cover 1 acre,O O O B-machinery_general_info O B-machinery_type O O O O O
agricultural_machinery,tractors,what is a three-point tractor hitch,O O O O B-machinery_type O
agricultural_machinery,general,what should be done to help the equipment last longer,O O O O O O O B-machinery_type O B-machinery_shelf_life
agricultural_machinery,produce_sorter,what is produce sorter,O O O O
agricultural_machinery,cultivator,how much money is required to maintain a cultivator,O O B-machinery_price O O O B-machinery_maintenance_cost O B-machinery_type
agricultural_machinery,cultivator,what is the shelf life of cultivator,O O O O B-machinery_shelf_life O B-machinery_type
agricultural_machinery,sprayers,what is life span of sprayer,O O B-machinery_shelf_life B-machinery_shelf_life O B-machinery_type
agricultural_machinery,liquid_manure,compare liquid manure with other types,B-machinery_general_info O O O O B-machinery_subtype
agricultural_machinery,subsoiler,how much does it cost to repair subsoiler,O O O O B-machinery_price O B-machinery_maintenance_cost B-machinery_type
agricultural_machinery,liquid_manure,what is the price of liquid manure,O O O B-machinery_price O O O
agricultural_machinery,roller,how can roller be used safely,O O B-machinery_type O B-machinery_agricultural_process B-machinery_general_info
agricultural_machinery,plough,does the plough need lubrication,O O B-machinery_type O B-machinery_maintenance_cost
agricultural_machinery,chisel_plow,what's the depth of chisel plow,O O O O O O
agricultural_machinery,chisel_plow,what is the function of chisel plow,O O O B-machinery_agricultural_process O O O
agricultural_machinery,roller,can roller be used for sowings seeds,O B-machinery_type O B-machinery_agricultural_process O B-machinery_agricultural_process B-machinery_agricultural_process
agricultural_machinery,roller,what is the maintenance cost of roller,O O O B-machinery_maintenance_cost B-machinery_price O B-machinery_type
agricultural_machinery,liquid_manure,which is best brand for liquid manure,O O B-machinery_general_info B-machinery_general_info O O O
agricultural_machinery,manure_spreader,how does manure spreader work,O O O O B-machinery_general_info
agricultural_machinery,manure_spreader,what is manure spreader,O O O O
agricultural_machinery,liquid_manure,what are the types of liquid manure,O O O B-machinery_subtype O O O
agricultural_machinery,general,what is cost of machine used for soil preparation,O O B-machinery_price O B-machinery_type B-machinery_agricultural_process O B-machinery_agricultural_process O
agricultural_machinery,combine,what is the price for combine maintenance,O O O B-machinery_price O O B-machinery_maintenance_cost
agricultural_machinery,manure_spreader,how manure spreader is different from other tools,O O O O B-machinery_subtype O O B-machinery_type
agricultural_machinery,rotator,what is rotator used for,O O B-machinery_type B-machinery_agricultural_process O
agricultural_machinery,roller,what is the lifetime of a roller,O O O B-machinery_shelf_life O O B-machinery_type
agricultural_machinery,liquid_manure,how to use liquid manure,O O B-machinery_agricultural_process O O
agricultural_machinery,plough,how to choose the best plough,O O O O B-machinery_general_info B-machinery_type
agricultural_machinery,produce_sorter,which is the best brand for produce sorter,O O O B-machinery_general_info B-machinery_general_info O O O
agricultural_machinery,sprayers,what is a sprayer,O O O B-machinery_type
agricultural_machinery,chisel_plow,what is the repair cost of chisel plow,O O O B-machinery_maintenance_cost B-machinery_price O O O
agricultural_machinery,chisel_plow,what is a chisel plow,O O O O O
agricultural_machinery,planters,is planter used for sowing seeds,O B-machinery_type B-machinery_agricultural_process O B-machinery_agricultural_process B-machinery_agricultural_process
agricultural_machinery,roller,how to choose the best roller,O O O O B-machinery_general_info B-machinery_type
agricultural_machinery,general,what is the advantage of using agricultural machinery,O O O B-machinery_general_info O O O B-machinery_type
agricultural_machinery,manure_spreader,where is manure spreader used,O O O O B-machinery_agricultural_process
agricultural_machinery,seed_drill,what are charges for repair of seed drill,O O B-machinery_price O B-machinery_maintenance_cost O B-machinery_agricultural_process O
agricultural_machinery,tractors,what is the best tractor brand,O O O B-machinery_general_info B-machinery_type B-machinery_general_info
agricultural_machinery,produce_sorter,is produce sorter used after harvesting,O O O B-machinery_agricultural_process O B-machinery_agricultural_process
agricultural_machinery,produce_sorter,what is produce sorter used for,O O O O B-machinery_agricultural_process O
agricultural_machinery,liquid_manure,what are the advantages of liquid manure,O O O B-machinery_general_info O O O
agricultural_machinery,sprayers,for how many years can a sprayer be used,O O O B-machinery_shelf_life O O B-machinery_type O B-machinery_agricultural_process
agricultural_machinery,subsoiler,how is subsoiler used in agriculture,O O B-machinery_type B-machinery_agricultural_process O O
agricultural_machinery,sprayers,when to spray,O O O
agricultural_machinery,cultivator,why is a cultivator used,O O O B-machinery_type B-machinery_agricultural_process
agricultural_machinery,plough,what is the life span of a plough,O O O B-machinery_shelf_life B-machinery_shelf_life O O B-machinery_type
agricultural_machinery,general,which machine works best for sowing,O B-machinery_type B-machinery_general_info B-machinery_general_info O B-machinery_agricultural_process
agricultural_machinery,combine,what is the process of combine,O O O O O O
agricultural_machinery,liquid_manure,does liquid manure expire,O O O O
agricultural_machinery,general,how can one avail of farm equipment testing,O O O O O O B-machinery_type B-machinery_shelf_life
agricultural_machinery,roller,what is the charge of maintaining a roller,O O O B-machinery_price O B-machinery_maintenance_cost O B-machinery_type
agricultural_machinery,liquid_manure,can liquid manure be used in cultivation,O O O O B-machinery_agricultural_process O B-machinery_agricultural_process
agricultural_machinery,general,how much investment do agricultural machines need,O O B-machinery_price O O B-machinery_type O
agricultural_machinery,planters,what is the use of planters in agriculture,O O O B-machinery_agricultural_process O B-machinery_type O O
agricultural_machinery,combine,uses of combine,B-machinery_agricultural_process O O
agricultural_machinery,rotator,what are the parts of rotator,O O O O O B-machinery_type
agricultural_machinery,cultivator,are they types of cultivators,O O B-machinery_subtype O B-machinery_type
agricultural_machinery,tractors,how to buy the best tractor,O O B-machinery_price O B-machinery_general_info B-machinery_type
agricultural_machinery,general,life duration of machine used for irrigation,B-machinery_shelf_life B-machinery_shelf_life O B-machinery_type B-machinery_agricultural_process O B-machinery_agricultural_process
agricultural_machinery,subsoiler,working of subsoiler,B-machinery_general_info O B-machinery_type
agricultural_machinery,rotator,what are the advantages of rotator,O O O B-machinery_general_info O B-machinery_type
agricultural_machinery,cultivator,which brand is best for buying cultivator,O B-machinery_general_info O B-machinery_general_info O B-machinery_price B-machinery_type
agricultural_machinery,roller,what is the purpose of a roller,O O O B-machinery_agricultural_process O O B-machinery_type
agricultural_machinery,roller,what is the price of roller,O O O B-machinery_price O B-machinery_type
agricultural_machinery,planters,planter is used for,B-machinery_type O B-machinery_agricultural_process O
agricultural_machinery,plough,what are the best features of plough,O O O B-machinery_general_info B-machinery_general_info O B-machinery_type
agricultural_machinery,chisel_plow,is chisel plow used for tilling,O O O B-machinery_agricultural_process O B-machinery_agricultural_process
agricultural_machinery,general,which machine is used for seeding,O B-machinery_type O B-machinery_agricultural_process O B-machinery_agricultural_process
agricultural_machinery,produce_sorter,what is the best brand for produce sorter,O O O B-machinery_general_info B-machinery_general_info O O O
agricultural_machinery,harrow,which is the best harrow brand,O O O B-machinery_general_info B-machinery_type B-machinery_general_info
agricultural_machinery,combine,what are the types of combine,O O O B-machinery_subtype O O
agricultural_machinery,general,are agricultural machines costly,O O B-machinery_type B-machinery_price
agricultural_machinery,tractors,repair a tractor,B-machinery_maintenance_cost O B-machinery_type
agricultural_machinery,combine,what are the disadvantages of combine,O O O B-machinery_general_info O O
agricultural_machinery,planters,what is the difference between seeder and planter,O O O B-machinery_general_info O B-machinery_agricultural_process O B-machinery_type
agricultural_machinery,harrow,how much money is needed to purchase harrow,O O B-machinery_price O O O B-machinery_price B-machinery_type
